"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"224",6634,"Schwalm-Eder-Kreis",2013,"6634y2013",413,403,39,165,244,8,56,813,90,1214,67,209,1
"225",6635,"Waldeck-Frankenberg",2013,"6635y2013",412,327,22,135,192,3,44,607,59,1074,33,110,1
"226",6636,"Werra-Meißner-Kreis",2013,"6636y2013",328,239,32,95,137,6,25,707,79,946,23,79,1
"227",7111,"Koblenz",2013,"7111y2013",1077,485,46,343,429,2,77,1980,889,3240,100,198,1
"228",7131,"Ahrweiler",2013,"7131y2013",596,427,54,211,258,1,35,1061,136,2111,124,304,1
"229",7132,"Altenkirchen (Westerwald)",2013,"7132y2013",704,245,38,231,270,0,32,883,51,1086,47,141,1
"230",7133,"Bad Kreuznach",2013,"7133y2013",871,412,27,270,372,4,79,1144,68,1736,79,218,1
"231",7134,"Birkenfeld",2013,"7134y2013",393,204,16,107,132,2,13,563,48,691,35,106,1
"232",7135,"Cochem-Zell",2013,"7135y2013",301,128,15,72,83,2,7,318,30,496,34,66,1
"233",7137,"Mayen-Koblenz",2013,"7137y2013",860,472,45,286,350,3,47,1236,108,1956,136,324,1
"234",7138,"Neuwied",2013,"7138y2013",811,439,43,237,330,4,72,1211,143,1888,159,327,1
"235",7140,"Rhein-Hunsrück-Kreis",2013,"7140y2013",276,259,19,101,132,0,24,526,60,792,24,83,1
"236",7141,"Rhein-Lahn-Kreis",2013,"7141y2013",495,171,21,139,177,0,24,681,35,825,48,125,1
"237",7143,"Westerwaldkreis",2013,"7143y2013",827,539,62,202,251,2,29,1069,156,1546,120,272,1
"238",7211,"Trier",2013,"7211y2013",893,366,39,305,413,1,101,1466,123,2389,56,152,1
"239",7231,"Bernkastel-Wittlich",2013,"7231y2013",508,298,40,149,186,3,19,551,38,918,57,98,1
